[2026-03-27 13:46:23] ======================================================================
[2026-03-27 13:46:23] Gumbel-Softmax Routing Experiment
[2026-03-27 13:46:23] ======================================================================
[2026-03-27 13:46:23] Hypothesis: Hard argmax gives dL/d(router_w)=0.
[2026-03-27 13:46:23] Gumbel-softmax makes routing differentiable so the LM loss
[2026-03-27 13:46:23] can drive selective routing.
[2026-03-27 13:46:23] ======================================================================
[2026-03-27 13:46:23] Config: {'device': 'cuda:0', 'model_name': 'Qwen/Qwen3-1.7B', 'checkpoint': 'fork_trunk18_phase1_final', 'seed': 42, 'hidden_dim': 2048, 'intermediate_dim': 6144, 'num_layers': 28, 'trunk_layers': 18, 'expert_layer_start': 18, 'initial_rank': 4, 'num_experts': 2, 'total_tokens': 50000000, 'batch_size': 4, 'seq_len': 512, 'lr': 0.0001, 'tau_start': 1.0, 'tau_end': 0.1, 'tau_anneal_steps': 24000, 'contrastive_weight': 0.1, 'contrastive_margin': 0.5, 'bimodality_threshold': 0.3, 'eval_interval_steps': 1000, 'eval_tokens': 524288, 'results_dir': '/root/t6b-mogae/results_gumbel_softmax', 'checkpoint_dir': '/root/t6b-mogae/checkpoints/fork_trunk18', 'save_checkpoint_dir': '/root/t6b-mogae/checkpoints/gumbel_softmax', 'log_file': '/root/t6b-mogae/logs/gumbel_softmax.log'}
[2026-03-27 13:46:23] Loading Qwen/Qwen3-1.7B...
[2026-03-27 13:46:26] Base model loaded: 1,720,574,976 params
[2026-03-27 13:46:26] Verified: hidden=2048, intermediate=6144
[2026-03-27 13:46:26] Loading Phase 1 checkpoint: /root/t6b-mogae/checkpoints/fork_trunk18/fork_trunk18_phase1_final.pt
[2026-03-27 13:46:26] Loaded Phase 1 weights (step 24414, phase 1)
[2026-03-27 13:46:26] Forking each layer: 1 expert -> 2 experts with perturbation...
[2026-03-27 13:46:26] Fork complete. Tree: {18: {'num_experts': 2, 'ranks': [4, 4]}, 19: {'num_experts': 2, 'ranks': [4, 4]}, 20: {'num_experts': 2, 'ranks': [4, 4]}, 21: {'num_experts': 2, 'ranks': [4, 4]}, 22: {'num_experts': 2, 'ranks': [4, 4]}, 23: {'num_experts': 2, 'ranks': [4, 4]}, 24: {'num_experts': 2, 'ranks': [4, 4]}, 25: {'num_experts': 2, 'ranks': [4, 4]}, 26: {'num_experts': 2, 'ranks': [4, 4]}, 27: {'num_experts': 2, 'ranks': [4, 4]}}
[2026-03-27 13:46:26] Trainable params: 1,351,680
[2026-03-27 13:46:26] Expert tree: {18: {'num_experts': 2, 'ranks': [4, 4]}, 19: {'num_experts': 2, 'ranks': [4, 4]}, 20: {'num_experts': 2, 'ranks': [4, 4]}, 21: {'num_experts': 2, 'ranks': [4, 4]}, 22: {'num_experts': 2, 'ranks': [4, 4]}, 23: {'num_experts': 2, 'ranks': [4, 4]}, 24: {'num_experts': 2, 'ranks': [4, 4]}, 25: {'num_experts': 2, 'ranks': [4, 4]}, 26: {'num_experts': 2, 'ranks': [4, 4]}, 27: {'num_experts': 2, 'ranks': [4, 4]}}
[2026-03-27 13:46:26] Training: 24414 steps, LR=0.0001, batch=4x512
[2026-03-27 13:46:26] Gumbel-softmax: tau 1.0 -> 0.1 over 24000 steps
[2026-03-27 13:46:26] Contrastive weight: 0.1, NO load-balancing loss
[2026-03-27 13:46:26] Trainable params: 1,351,680
[2026-03-27 13:46:26] Expert tree: {18: {'num_experts': 2, 'ranks': [4, 4]}, 19: {'num_experts': 2, 'ranks': [4, 4]}, 20: {'num_experts': 2, 'ranks': [4, 4]}, 21: {'num_experts': 2, 'ranks': [4, 4]}, 22: {'num_experts': 2, 'ranks': [4, 4]}, 23: {'num_experts': 2, 'ranks': [4, 4]}, 24: {'num_experts': 2, 'ranks': [4, 4]}, 25: {'num_experts': 2, 'ranks': [4, 4]}, 26: {'num_experts': 2, 'ranks': [4, 4]}, 27: {'num_experts': 2, 'ranks': [4, 4]}}
[2026-03-27 13:46:40]   step 100/24414 | lm=3.4688 c=0.4961 tau=0.996 | lr=1.00e-04 | 15464 tok/s route_L18=[0.60, 0.40]
[2026-03-27 13:57:39]   step 5800/24414 | lm=2.1250 c=0.1187 tau=0.783 | lr=8.67e-05 | 17655 tok/s route_L18=[0.77, 0.23]
[2026-03-27 13:57:49]   step 5900/24414 | lm=3.3438 c=0.1187 tau=0.779 | lr=8.63e-05 | 17690 tok/s route_L18=[0.68, 0.32]
[2026-03-27 13:58:00]   step 6000/24414 | lm=3.2344 c=0.1182 tau=0.775 | lr=8.58e-05 | 17724 tok/s route_L18=[0.66, 0.34]
[2026-03-27 13:58:00] --- Eval at step 6000 (tau=0.775) ---
[2026-03-27 13:58:15]   PPL=20.14 | mean_cossim=0.61796875
[2026-03-27 13:58:15]   L18: selectivity=0.277 (std=0.146, frac>0.3=0.48)
[2026-03-27 13:58:15]   L19: selectivity=0.291 (std=0.147, frac>0.3=0.52)
[2026-03-27 13:58:15]   L20: selectivity=0.340 (std=0.148, frac>0.3=0.65)
[2026-03-27 13:58:15]   L21: selectivity=0.346 (std=0.148, frac>0.3=0.67)
[2026-03-27 13:58:15]   L22: selectivity=0.332 (std=0.149, frac>0.3=0.63)
[2026-03-27 13:58:15]   L23: selectivity=0.367 (std=0.146, frac>0.3=0.72)
[2026-03-27 13:58:15]   L24: selectivity=0.348 (std=0.147, frac>0.3=0.67)
[2026-03-27 13:58:15]   L25: selectivity=0.369 (std=0.146, frac>0.3=0.72)
[2026-03-27 13:58:15]   L26: selectivity=0.387 (std=0.141, frac>0.3=0.76)
[2026-03-27 13:58:15]   L27: selectivity=0.410 (std=0.133, frac>0.3=0.81)
[2026-03-27 13:58:15]   L18: entropy=0.463 gini=0.125 dist=['0.625', '0.377']
[2026-03-27 13:58:15]   L19: entropy=0.439 gini=0.016 dist=['0.480', '0.520']
[2026-03-27 13:58:15]   L20: entropy=0.354 gini=0.062 dist=['0.438', '0.562']
[2026-03-27 13:58:15]   L21: entropy=0.342 gini=0.172 dist=['0.334', '0.668']
[2026-03-27 13:58:15]   L22: entropy=0.367 gini=0.070 dist=['0.424', '0.574']
[2026-03-27 13:58:15]   L23: entropy=0.299 gini=0.203 dist=['0.301', '0.699']
[2026-03-27 13:58:15]   L24: entropy=0.338 gini=0.156 dist=['0.652', '0.348']
[2026-03-27 13:58:15]   L25: entropy=0.295 gini=0.172 dist=['0.324', '0.676']
[2026-03-27 13:58:15]   L26: entropy=0.258 gini=0.016 dist=['0.516', '0.482']
[2026-03-27 13:58:15]   L27: entropy=0.211 gini=0.211 dist=['0.283', '0.715']
[2026-03-27 13:58:15] Checkpoint saved: /root/t6b-mogae/checkpoints/gumbel_softmax/gumbel_step6000.pt
[2026-03-27 13:58:25]   step 6100/24414 | lm=2.9062 c=0.1162 tau=0.771 | lr=8.54e-05 | 17377 tok/s route_L18=[0.57, 0.43]
[2026-03-27 13:58:35]   step 6200/24414 | lm=3.2969 c=0.1162 tau=0.768 | lr=8.49e-05 | 17414 tok/s route_L18=[0.68, 0.32]
[2026-03-27 13:58:46]   step 6300/24414 | lm=3.1094 c=0.1143 tau=0.764 | lr=8.45e-05 | 17440 tok/s route_L18=[0.57, 0.43]
[2026-03-27 13:58:56]   step 6400/24414 | lm=3.2969 c=0.1143 tau=0.760 | lr=8.40e-05 | 17476 tok/s route_L18=[0.66, 0.34]
[2026-03-27 13:59:07]   step 6500/24414 | lm=3.7812 c=0.1143 tau=0.756 | lr=8.35e-05 | 17511 tok/s route_L18=[0.69, 0.31]
[2026-03-27 13:59:17]   step 6600/24414 | lm=2.5938 c=0.1143 tau=0.753 | lr=8.30e-05 | 17544 tok/s route_L18=[0.55, 0.45]
[2026-03-27 13:59:27]   step 6700/24414 | lm=2.6250 c=0.1123 tau=0.749 | lr=8.25e-05 | 17576 tok/s route_L18=[0.62, 0.38]
[2026-03-27 13:59:37]   step 6800/24414 | lm=3.3438 c=0.1123 tau=0.745 | lr=8.20e-05 | 17607 tok/s route_L18=[0.67, 0.33]
[2026-03-27 13:59:47]   step 6900/24414 | lm=2.3594 c=0.1108 tau=0.741 | lr=8.16e-05 | 17639 tok/s route_L18=[0.55, 0.45]
[2026-03-27 13:59:58]   step 7000/24414 | lm=3.1250 c=0.1108 tau=0.738 | lr=8.11e-05 | 17668 tok/s route_L18=[0.68, 0.32]
[2026-03-27 13:59:58] --- Eval at step 7000 (tau=0.738) ---
[2026-03-27 14:00:13]   PPL=20.14 | mean_cossim=0.6109375
[2026-03-27 14:00:13]   L18: selectivity=0.283 (std=0.146, frac>0.3=0.50)
[2026-03-27 14:00:13]   L19: selectivity=0.293 (std=0.148, frac>0.3=0.52)
[2026-03-27 14:00:13]   L20: selectivity=0.340 (std=0.148, frac>0.3=0.65)
[2026-03-27 14:00:13]   L21: selectivity=0.346 (std=0.148, frac>0.3=0.67)
[2026-03-27 14:00:13]   L22: selectivity=0.330 (std=0.149, frac>0.3=0.63)
[2026-03-27 14:00:13]   L23: selectivity=0.365 (std=0.146, frac>0.3=0.71)
[2026-03-27 14:00:13]   L24: selectivity=0.350 (std=0.147, frac>0.3=0.68)
[2026-03-27 14:00:13]   L25: selectivity=0.367 (std=0.146, frac>0.3=0.72)
[2026-03-27 14:00:13]   L26: selectivity=0.389 (std=0.141, frac>0.3=0.76)
[2026-03-27 14:00:13]   L27: selectivity=0.410 (std=0.132, frac>0.3=0.82)
[2026-03-27 14:00:13]   L18: entropy=0.455 gini=0.141 dist=['0.641', '0.359']
[2026-03-27 14:00:13]   L19: entropy=0.438 gini=0.023 dist=['0.477', '0.523']
[2026-03-27 14:00:13]   L20: entropy=0.354 gini=0.055 dist=['0.443', '0.555']
[2026-03-27 14:00:13]   L21: entropy=0.342 gini=0.164 dist=['0.336', '0.664']
[2026-03-27 14:00:13]   L22: entropy=0.369 gini=0.062 dist=['0.441', '0.559']
[2026-03-27 14:00:13]   L23: entropy=0.305 gini=0.195 dist=['0.311', '0.691']
[2026-03-27 14:00:13]   L24: entropy=0.334 gini=0.156 dist=['0.660', '0.340']
[2026-03-27 14:00:13]   L25: entropy=0.299 gini=0.172 dist=['0.334', '0.668']
[2026-03-27 14:00:13]   L26: entropy=0.258 gini=0.008 dist=['0.508', '0.492']
[2026-03-27 14:00:13]   L27: entropy=0.209 gini=0.219 dist=['0.283', '0.719']
[2026-03-27 14:00:13] Checkpoint saved: /root/t6b-mogae/checkpoints/gumbel_softmax/gumbel_step7000.pt
[2026-03-27 14:00:24]   step 7100/24414 | lm=3.1094 c=0.1108 tau=0.734 | lr=8.05e-05 | 17366 tok/s route_L18=[0.71, 0.29]
[2026-03-27 14:00:34]   step 7200/24414 | lm=3.4219 c=0.1094 tau=0.730 | lr=8.00e-05 | 17398 tok/s route_L18=[0.72, 0.28]
[2026-03-27 14:00:45]   step 7300/24414 | lm=2.9219 c=0.1094 tau=0.726 | lr=7.95e-05 | 17419 tok/s route_L18=[0.73, 0.27]
[2026-03-27 14:00:55]   step 7400/24414 | lm=2.3438 c=0.1094 tau=0.723 | lr=7.90e-05 | 17450 tok/s route_L18=[0.52, 0.48]
[2026-03-27 14:01:05]   step 7500/24414 | lm=3.2031 c=0.1094 tau=0.719 | lr=7.85e-05 | 17479 tok/s route_L18=[0.61, 0.40]
[2026-03-27 14:01:15]   step 7600/24414 | lm=2.7812 c=0.1084 tau=0.715 | lr=7.79e-05 | 17508 tok/s route_L18=[0.63, 0.37]
[2026-03-27 14:01:26]   step 7700/24414 | lm=2.5781 c=0.1084 tau=0.711 | lr=7.74e-05 | 17536 tok/s route_L18=[0.72, 0.28]
[2026-03-27 14:01:36]   step 7800/24414 | lm=2.8750 c=0.1064 tau=0.708 | lr=7.69e-05 | 17564 tok/s route_L18=[0.68, 0.32]
[2026-03-27 14:01:46]   step 7900/24414 | lm=3.3750 c=0.1064 tau=0.704 | lr=7.63e-05 | 17590 tok/s route_L18=[0.62, 0.38]
[2026-03-27 14:01:56]   step 8000/24414 | lm=2.7969 c=0.1064 tau=0.700 | lr=7.58e-05 | 17617 tok/s route_L18=[0.60, 0.40]
[2026-03-27 14:01:56] --- Eval at step 8000 (tau=0.700) ---
[2026-03-27 14:02:12]   PPL=20.14 | mean_cossim=0.607421875
[2026-03-27 14:02:12]   L18: selectivity=0.285 (std=0.146, frac>0.3=0.50)
[2026-03-27 14:02:12]   L19: selectivity=0.293 (std=0.148, frac>0.3=0.53)
[2026-03-27 14:02:12]   L20: selectivity=0.342 (std=0.148, frac>0.3=0.65)
[2026-03-27 14:02:12]   L21: selectivity=0.344 (std=0.148, frac>0.3=0.66)
[2026-03-27 14:02:12]   L22: selectivity=0.332 (std=0.149, frac>0.3=0.63)
[2026-03-27 14:02:12]   L23: selectivity=0.365 (std=0.146, frac>0.3=0.71)
[2026-03-27 14:02:12]   L24: selectivity=0.352 (std=0.147, frac>0.3=0.68)
[2026-03-27 14:02:12]   L25: selectivity=0.369 (std=0.146, frac>0.3=0.72)
[2026-03-27 14:02:12]   L26: selectivity=0.389 (std=0.141, frac>0.3=0.77)
[2026-03-27 14:02:12]   L27: selectivity=0.408 (std=0.133, frac>0.3=0.81)
[2026-03-27 14:02:12]   L18: entropy=0.451 gini=0.148 dist=['0.648', '0.354']
[2026-03-27 14:02:12]   L19: entropy=0.438 gini=0.023 dist=['0.475', '0.523']
[2026-03-27 14:02:12]   L20: entropy=0.354 gini=0.062 dist=['0.438', '0.562']
[2026-03-27 14:02:12]   L21: entropy=0.346 gini=0.156 dist=['0.348', '0.652']
[2026-03-27 14:02:12]   L22: entropy=0.367 gini=0.062 dist=['0.432', '0.566']
[2026-03-27 14:02:12]   L23: entropy=0.305 gini=0.188 dist=['0.311', '0.688']
[2026-03-27 14:02:12]   L24: entropy=0.332 gini=0.164 dist=['0.668', '0.330']
[2026-03-27 14:02:12]   L25: entropy=0.295 gini=0.172 dist=['0.328', '0.672']
[2026-03-27 14:02:12]   L26: entropy=0.256 gini=0.008 dist=['0.486', '0.512']
[2026-03-27 14:02:12]   L27: entropy=0.212 gini=0.203 dist=['0.293', '0.707']
[2026-03-27 14:02:12] Checkpoint saved: /root/t6b-mogae/checkpoints/gumbel_softmax/gumbel_step8000.pt
[2026-03-27 14:02:22]   step 8100/24414 | lm=3.2969 c=0.1064 tau=0.696 | lr=7.52e-05 | 17354 tok/s route_L18=[0.71, 0.29]
[2026-03-27 14:02:32]   step 8200/24414 | lm=3.6094 c=0.1064 tau=0.693 | lr=7.47e-05 | 17383 tok/s route_L18=[0.66, 0.34]
[2026-03-27 14:02:43]   step 8300/24414 | lm=2.8906 c=0.1064 tau=0.689 | lr=7.41e-05 | 17410 tok/s route_L18=[0.76, 0.24]
[2026-03-27 14:02:53]   step 8400/24414 | lm=2.8906 c=0.1064 tau=0.685 | lr=7.35e-05 | 17437 tok/s route_L18=[0.57, 0.43]
[2026-03-27 14:03:03]   step 8500/24414 | lm=3.1562 c=0.1055 tau=0.681 | lr=7.30e-05 | 17463 tok/s route_L18=[0.80, 0.19]
[2026-03-27 14:03:13]   step 8600/24414 | lm=2.8281 c=0.1045 tau=0.678 | lr=7.24e-05 | 17489 tok/s route_L18=[0.65, 0.35]
[2026-03-27 14:03:24]   step 8700/24414 | lm=3.2812 c=0.1045 tau=0.674 | lr=7.18e-05 | 17514 tok/s route_L18=[0.67, 0.33]
[2026-03-27 14:03:34]   step 8800/24414 | lm=2.7969 c=0.1045 tau=0.670 | lr=7.12e-05 | 17538 tok/s route_L18=[0.76, 0.24]
[2026-03-27 14:03:44]   step 8900/24414 | lm=3.2031 c=0.1045 tau=0.666 | lr=7.06e-05 | 17562 tok/s route_L18=[0.74, 0.26]
[2026-03-27 14:03:54]   step 9000/24414 | lm=3.2188 c=0.1045 tau=0.663 | lr=7.01e-05 | 17586 tok/s route_L18=[0.71, 0.29]
[2026-03-27 14:03:54] --- Eval at step 9000 (tau=0.663) ---
[2026-03-27 14:04:10]   PPL=20.14 | mean_cossim=0.6046875
[2026-03-27 14:04:10]   L18: selectivity=0.287 (std=0.146, frac>0.3=0.51)
[2026-03-27 14:04:10]   L19: selectivity=0.293 (std=0.148, frac>0.3=0.53)
[2026-03-27 14:04:10]   L20: selectivity=0.342 (std=0.148, frac>0.3=0.65)
[2026-03-27 14:04:10]   L21: selectivity=0.344 (std=0.148, frac>0.3=0.66)
[2026-03-27 14:04:10]   L22: selectivity=0.332 (std=0.149, frac>0.3=0.63)
[2026-03-27 14:04:10]   L23: selectivity=0.363 (std=0.146, frac>0.3=0.71)
[2026-03-27 14:04:10]   L24: selectivity=0.350 (std=0.147, frac>0.3=0.68)
[2026-03-27 14:04:10]   L25: selectivity=0.369 (std=0.146, frac>0.3=0.72)
[2026-03-27 14:04:10]   L26: selectivity=0.389 (std=0.141, frac>0.3=0.77)
[2026-03-27 14:04:10]   L27: selectivity=0.406 (std=0.135, frac>0.3=0.80)
[2026-03-27 14:04:10]   L18: entropy=0.447 gini=0.156 dist=['0.656', '0.344']
[2026-03-27 14:04:10]   L19: entropy=0.436 gini=0.016 dist=['0.480', '0.520']
[2026-03-27 14:04:10]   L20: entropy=0.352 gini=0.062 dist=['0.438', '0.562']
[2026-03-27 14:04:10]   L21: entropy=0.346 gini=0.148 dist=['0.350', '0.648']
[2026-03-27 14:04:10]   L22: entropy=0.369 gini=0.062 dist=['0.441', '0.559']
[2026-03-27 14:04:10]   L23: entropy=0.309 gini=0.180 dist=['0.320', '0.680']
[2026-03-27 14:04:10]   L24: entropy=0.336 gini=0.164 dist=['0.660', '0.342']
[2026-03-27 14:04:10]   L25: entropy=0.295 gini=0.172 dist=['0.330', '0.672']
[2026-03-27 14:04:10]   L26: entropy=0.256 gini=0.000 dist=['0.494', '0.504']
[2026-03-27 14:04:10]   L27: entropy=0.220 gini=0.188 dist=['0.316', '0.684']
[2026-03-27 14:04:10] Checkpoint saved: /root/t6b-mogae/checkpoints/gumbel_softmax/gumbel_step9000.pt
[2026-03-27 14:04:20]   step 9100/24414 | lm=3.2344 c=0.1045 tau=0.659 | lr=6.95e-05 | 17356 tok/s route_L18=[0.74, 0.26]
[2026-03-27 14:04:30]   step 9200/24414 | lm=2.5000 c=0.1045 tau=0.655 | lr=6.89e-05 | 17381 tok/s route_L18=[0.56, 0.44]
[2026-03-27 14:04:41]   step 9300/24414 | lm=2.7969 c=0.1030 tau=0.651 | lr=6.83e-05 | 17406 tok/s route_L18=[0.66, 0.34]
[2026-03-27 14:04:51]   step 9400/24414 | lm=3.1094 c=0.1030 tau=0.648 | lr=6.77e-05 | 17422 tok/s route_L18=[0.68, 0.32]
[2026-03-27 14:05:02]   step 9500/24414 | lm=2.7656 c=0.1030 tau=0.644 | lr=6.71e-05 | 17446 tok/s route_L18=[0.68, 0.32]
[2026-03-27 14:05:12]   step 9600/24414 | lm=3.0000 c=0.1030 tau=0.640 | lr=6.65e-05 | 17469 tok/s route_L18=[0.76, 0.24]
[2026-03-27 14:05:22]   step 9700/24414 | lm=3.1250 c=0.1030 tau=0.636 | lr=6.59e-05 | 17492 tok/s route_L18=[0.62, 0.38]
[2026-03-27 14:05:32]   step 9800/24414 | lm=3.0312 c=0.1030 tau=0.633 | lr=6.52e-05 | 17514 tok/s route_L18=[0.78, 0.22]
[2026-03-27 14:05:42]   step 9900/24414 | lm=2.6250 c=0.1030 tau=0.629 | lr=6.46e-05 | 17536 tok/s route_L18=[0.59, 0.41]
[2026-03-27 14:05:53]   step 10000/24414 | lm=3.1094 c=0.1030 tau=0.625 | lr=6.40e-05 | 17558 tok/s route_L18=[0.66, 0.34]
[2026-03-27 14:05:53] --- Eval at step 10000 (tau=0.625) ---
[2026-03-27 14:06:08]   PPL=20.14 | mean_cossim=0.603515625
[2026-03-27 14:06:08]   L18: selectivity=0.289 (std=0.146, frac>0.3=0.51)
[2026-03-27 14:06:08]   L19: selectivity=0.295 (std=0.148, frac>0.3=0.53)
[2026-03-27 14:06:08]   L20: selectivity=0.342 (std=0.148, frac>0.3=0.66)
[2026-03-27 14:06:08]   L21: selectivity=0.342 (std=0.149, frac>0.3=0.66)
[2026-03-27 14:06:08]   L22: selectivity=0.334 (std=0.149, frac>0.3=0.64)
[2026-03-27 14:06:08]   L23: selectivity=0.361 (std=0.146, frac>0.3=0.71)
[2026-03-27 14:06:08]   L24: selectivity=0.350 (std=0.147, frac>0.3=0.67)
[2026-03-27 14:06:08]   L25: selectivity=0.367 (std=0.146, frac>0.3=0.72)
[2026-03-27 14:06:08]   L26: selectivity=0.389 (std=0.141, frac>0.3=0.77)
[2026-03-27 14:06:08]   L27: selectivity=0.406 (std=0.134, frac>0.3=0.81)
[2026-03-27 14:06:08]   L18: entropy=0.445 gini=0.156 dist=['0.660', '0.340']
[2026-03-27 14:06:08]   L19: entropy=0.436 gini=0.031 dist=['0.475', '0.527']
[2026-03-27 14:06:08]   L20: entropy=0.352 gini=0.062 dist=['0.441', '0.559']
[2026-03-27 14:06:08]   L21: entropy=0.350 gini=0.141 dist=['0.361', '0.641']
[2026-03-27 14:06:08]   L22: entropy=0.365 gini=0.078 dist=['0.426', '0.574']
[2026-03-27 14:06:08]   L23: entropy=0.311 gini=0.180 dist=['0.326', '0.676']
[2026-03-27 14:06:08]   L24: entropy=0.338 gini=0.156 dist=['0.652', '0.348']
[2026-03-27 14:06:08]   L25: entropy=0.299 gini=0.156 dist=['0.338', '0.660']
[2026-03-27 14:06:08]   L26: entropy=0.256 gini=0.008 dist=['0.494', '0.508']
[2026-03-27 14:06:08]   L27: entropy=0.218 gini=0.188 dist=['0.312', '0.688']
[2026-03-27 14:06:08] Checkpoint saved: /root/t6b-mogae/checkpoints/gumbel_softmax/gumbel_step10000.pt
[2026-03-27 14:06:19]   step 10100/24414 | lm=2.9844 c=0.1030 tau=0.621 | lr=6.34e-05 | 17349 tok/s route_L18=[0.64, 0.36]
[2026-03-27 14:06:29]   step 10200/24414 | lm=3.2500 c=0.1030 tau=0.618 | lr=6.28e-05 | 17371 tok/s route_L18=[0.68, 0.33]
[2026-03-27 14:06:39]   step 10300/24414 | lm=3.0781 c=0.1030 tau=0.614 | lr=6.21e-05 | 17393 tok/s route_L18=[0.60, 0.40]
[2026-03-27 14:06:50]   step 10400/24414 | lm=3.3438 c=0.1030 tau=0.610 | lr=6.15e-05 | 17408 tok/s route_L18=[0.62, 0.38]
[2026-03-27 14:07:00]   step 10500/24414 | lm=3.5156 c=0.1030 tau=0.606 | lr=6.09e-05 | 17429 tok/s route_L18=[0.68, 0.32]
[2026-03-27 14:07:10]   step 10600/24414 | lm=2.9688 c=0.1016 tau=0.603 | lr=6.03e-05 | 17450 tok/s route_L18=[0.84, 0.16]
[2026-03-27 14:07:21]   step 10700/24414 | lm=2.7500 c=0.1016 tau=0.599 | lr=5.96e-05 | 17471 tok/s route_L18=[0.77, 0.23]
[2026-03-27 14:07:31]   step 10800/24414 | lm=2.8281 c=0.1016 tau=0.595 | lr=5.90e-05 | 17492 tok/s route_L18=[0.64, 0.36]
[2026-03-27 14:07:41]   step 10900/24414 | lm=2.5938 c=0.1016 tau=0.591 | lr=5.84e-05 | 17512 tok/s route_L18=[0.69, 0.31]
[2026-03-27 14:07:51]   step 11000/24414 | lm=3.2969 c=0.1016 tau=0.588 | lr=5.77e-05 | 17533 tok/s route_L18=[0.70, 0.30]
[2026-03-27 14:07:51] --- Eval at step 11000 (tau=0.588) ---
[2026-03-27 14:08:07]   PPL=20.13 | mean_cossim=0.6015625
[2026-03-27 14:08:07]   L18: selectivity=0.289 (std=0.146, frac>0.3=0.51)
[2026-03-27 14:08:07]   L19: selectivity=0.295 (std=0.148, frac>0.3=0.53)
[2026-03-27 14:08:07]   L20: selectivity=0.342 (std=0.148, frac>0.3=0.66)
[2026-03-27 14:08:07]   L21: selectivity=0.342 (std=0.149, frac>0.3=0.65)
[2026-03-27 14:08:07]   L22: selectivity=0.336 (std=0.149, frac>0.3=0.64)
[2026-03-27 14:08:07]   L23: selectivity=0.361 (std=0.146, frac>0.3=0.71)
[2026-03-27 14:08:07]   L24: selectivity=0.346 (std=0.148, frac>0.3=0.67)
[2026-03-27 14:08:07]   L25: selectivity=0.369 (std=0.146, frac>0.3=0.72)
[2026-03-27 14:08:07]   L26: selectivity=0.389 (std=0.140, frac>0.3=0.77)
[2026-03-27 14:08:07]   L27: selectivity=0.406 (std=0.134, frac>0.3=0.81)
[2026-03-27 14:08:07]   L18: entropy=0.445 gini=0.156 dist=['0.660', '0.340']
[2026-03-27 14:08:07]   L19: entropy=0.436 gini=0.023 dist=['0.471', '0.527']
[2026-03-27 14:08:07]   L20: entropy=0.350 gini=0.055 dist=['0.443', '0.555']
[2026-03-27 14:08:07]   L21: entropy=0.352 gini=0.133 dist=['0.365', '0.633']
[2026-03-27 14:08:07]   L22: entropy=0.363 gini=0.078 dist=['0.418', '0.582']
[2026-03-27 14:08:07]   L23: entropy=0.311 gini=0.180 dist=['0.326', '0.676']
[2026-03-27 14:08:07]   L24: entropy=0.342 gini=0.141 dist=['0.641', '0.359']
[2026-03-27 14:08:07]   L25: entropy=0.297 gini=0.172 dist=['0.334', '0.668']
[2026-03-27 14:08:07]   L26: entropy=0.254 gini=0.000 dist=['0.494', '0.504']
[2026-03-27 14:08:07]   L27: entropy=0.218 gini=0.188 dist=['0.314', '0.688']
[2026-03-27 14:08:07] Checkpoint saved: /root/t6b-mogae/checkpoints/gumbel_softmax/gumbel_step11000.pt
[2026-03-27 14:08:17]   step 11100/24414 | lm=3.1719 c=0.1016 tau=0.584 | lr=5.71e-05 | 17345 tok/s route_L18=[0.68, 0.32]
[2026-03-27 14:08:27]   step 11200/24414 | lm=3.1719 c=0.1016 tau=0.580 | lr=5.65e-05 | 17366 tok/s route_L18=[0.80, 0.20]
[2026-03-27 14:08:37]   step 11300/24414 | lm=3.0156 c=0.1016 tau=0.576 | lr=5.58e-05 | 17386 tok/s route_L18=[0.55, 0.45]
[2026-03-27 14:08:48]   step 11400/24414 | lm=2.9688 c=0.1016 tau=0.573 | lr=5.52e-05 | 17406 tok/s route_L18=[0.63, 0.37]
[2026-03-27 14:08:58]   step 11500/24414 | lm=3.0312 c=0.1016 tau=0.569 | lr=5.45e-05 | 17420 tok/s route_L18=[0.70, 0.30]
[2026-03-27 14:09:09]   step 11600/24414 | lm=3.0000 c=0.1016 tau=0.565 | lr=5.39e-05 | 17439 tok/s route_L18=[0.68, 0.32]
[2026-03-27 14:09:19]   step 11700/24414 | lm=2.9531 c=0.1006 tau=0.561 | lr=5.33e-05 | 17458 tok/s route_L18=[0.75, 0.26]
[2026-03-27 14:09:29]   step 11800/24414 | lm=3.2656 c=0.1006 tau=0.558 | lr=5.26e-05 | 17477 tok/s route_L18=[0.72, 0.28]
[2026-03-27 14:09:39]   step 11900/24414 | lm=3.1250 c=0.1006 tau=0.554 | lr=5.20e-05 | 17495 tok/s route_L18=[0.66, 0.34]
[2026-03-27 14:09:50]   step 12000/24414 | lm=2.8281 c=0.1006 tau=0.550 | lr=5.13e-05 | 17513 tok/s route_L18=[0.63, 0.37]
[2026-03-27 14:09:50] --- Eval at step 12000 (tau=0.550) ---
[2026-03-27 14:10:05]   PPL=20.14 | mean_cossim=0.6015625
[2026-03-27 14:10:05]   L18: selectivity=0.287 (std=0.146, frac>0.3=0.51)
[2026-03-27 14:10:05]   L19: selectivity=0.295 (std=0.148, frac>0.3=0.53)
[2026-03-27 14:10:05]   L20: selectivity=0.342 (std=0.148, frac>0.3=0.66)
[2026-03-27 14:10:05]   L21: selectivity=0.340 (std=0.149, frac>0.3=0.65)
[2026-03-27 14:10:05]   L22: selectivity=0.334 (std=0.149, frac>0.3=0.64)
[2026-03-27 14:10:05]   L23: selectivity=0.361 (std=0.146, frac>0.3=0.70)
[2026-03-27 14:10:05]   L24: selectivity=0.346 (std=0.148, frac>0.3=0.66)
