[2026-03-28 04:56:25] ======================================================================
[2026-03-28 04:56:25] Gumbel-Softmax Routing Experiment
[2026-03-28 04:56:25] ======================================================================
[2026-03-28 04:56:25] Hypothesis: Hard argmax gives dL/d(router_w)=0.
[2026-03-28 04:56:25] Gumbel-softmax makes routing differentiable so the LM loss
[2026-03-28 04:56:25] can drive selective routing.
[2026-03-28 04:56:25] ======================================================================
[2026-03-28 04:56:25] Config: {'device': 'cuda:0', 'model_name': 'Qwen/Qwen3-1.7B', 'checkpoint': 'gumbel_softmax/gumbel_final', 'seed': 42, 'hidden_dim': 2048, 'intermediate_dim': 6144, 'num_layers': 28, 'trunk_layers': 18, 'expert_layer_start': 18, 'initial_rank': 4, 'num_experts': 2, 'total_tokens': 50000000, 'batch_size': 4, 'seq_len': 512, 'lr': 0.0001, 'tau_start': 1.0, 'tau_end': 0.1, 'tau_anneal_steps': 24000, 'contrastive_weight': 0.1, 'contrastive_margin': 0.5, 'bimodality_threshold': 0.3, 'eval_interval_steps': 1000, 'eval_tokens': 524288, 'results_dir': '/root/t6b-mogae/results_gumbel_softmax', 'checkpoint_dir': '/root/t6b-mogae/checkpoints', 'save_checkpoint_dir': '/root/t6b-mogae/checkpoints/gumbel_niche', 'log_file': '/root/t6b-mogae/logs/gumbel_niche_finetune.log'}
[2026-03-28 04:56:25] Loading Qwen/Qwen3-1.7B...
`torch_dtype` is deprecated! Use `dtype` instead!
Loading weights:   0%|          | 0/311 [00:00<?, ?it/s]Loading weights: 100%|██████████| 311/311 [00:00<00:00, 17482.83it/s]
The tied weights mapping and config for this model specifies to tie model.embed_tokens.weight to lm_head.weight, but both are present in the checkpoints, so we will NOT tie them. You should update the config with `tie_word_embeddings=False` to silence this warning
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
[2026-03-28 04:56:29] Base model loaded: 2,031,739,904 params
[2026-03-28 04:56:29] Verified: hidden=2048, intermediate=6144
[2026-03-28 04:56:29] Loaded Gumbel checkpoint from step 24414
[2026-03-28 04:56:29] Trainable params: 1,351,680
[2026-03-28 04:56:29] Expert tree: {18: {'num_experts': 2, 'ranks': [4, 4]}, 19: {'num_experts': 2, 'ranks': [4, 4]}, 20: {'num_experts': 2, 'ranks': [4, 4]}, 21: {'num_experts': 2, 'ranks': [4, 4]}, 22: {'num_experts': 2, 'ranks': [4, 4]}, 23: {'num_experts': 2, 'ranks': [4, 4]}, 24: {'num_experts': 2, 'ranks': [4, 4]}, 25: {'num_experts': 2, 'ranks': [4, 4]}, 26: {'num_experts': 2, 'ranks': [4, 4]}, 27: {'num_experts': 2, 'ranks': [4, 4]}}
[2026-03-28 04:56:29] Training: 24414 steps, LR=0.0001, batch=4x512
[2026-03-28 04:56:29] Gumbel-softmax: tau 1.0 -> 0.1 over 24000 steps
[2026-03-28 04:56:29] Contrastive weight: 0.1, NO load-balancing loss
[2026-03-28 04:56:29] Trainable params: 1,351,680
[2026-03-28 04:56:29] Expert tree: {18: {'num_experts': 2, 'ranks': [4, 4]}, 19: {'num_experts': 2, 'ranks': [4, 4]}, 20: {'num_experts': 2, 'ranks': [4, 4]}, 21: {'num_experts': 2, 'ranks': [4, 4]}, 22: {'num_experts': 2, 'ranks': [4, 4]}, 23: {'num_experts': 2, 'ranks': [4, 4]}, 24: {'num_experts': 2, 'ranks': [4, 4]}, 25: {'num_experts': 2, 'ranks': [4, 4]}, 26: {'num_experts': 2, 'ranks': [4, 4]}, 27: {'num_experts': 2, 'ranks': [4, 4]}}
[2026-03-28 04:56:42]   step 100/24414 | lm=3.4531 c=0.0840 tau=0.996 | lr=1.00e-04 | 15847 tok/s route_L18=[0.60, 0.40]
[2026-03-28 05:08:13]   L18: selectivity=0.287 (std=0.147, frac>0.3=0.51)
[2026-03-28 05:08:13]   L19: selectivity=0.301 (std=0.149, frac>0.3=0.55)
[2026-03-28 05:08:13]   L20: selectivity=0.350 (std=0.147, frac>0.3=0.67)
[2026-03-28 05:08:13]   L21: selectivity=0.352 (std=0.148, frac>0.3=0.68)
[2026-03-28 05:08:13]   L22: selectivity=0.340 (std=0.149, frac>0.3=0.65)
[2026-03-28 05:08:13]   L23: selectivity=0.367 (std=0.146, frac>0.3=0.72)
[2026-03-28 05:08:13]   L24: selectivity=0.352 (std=0.147, frac>0.3=0.68)
[2026-03-28 05:08:13]   L25: selectivity=0.373 (std=0.145, frac>0.3=0.73)
[2026-03-28 05:08:13]   L26: selectivity=0.395 (std=0.139, frac>0.3=0.78)
[2026-03-28 05:08:13]   L27: selectivity=0.412 (std=0.132, frac>0.3=0.82)
[2026-03-28 05:08:13]   L18: entropy=0.447 gini=0.125 dist=['0.629', '0.371']
[2026-03-28 05:08:13]   L19: entropy=0.422 gini=0.016 dist=['0.484', '0.516']
[2026-03-28 05:08:13]   L20: entropy=0.336 gini=0.070 dist=['0.436', '0.566']
[2026-03-28 05:08:13]   L21: entropy=0.332 gini=0.156 dist=['0.346', '0.656']
[2026-03-28 05:08:13]   L22: entropy=0.352 gini=0.078 dist=['0.418', '0.582']
[2026-03-28 05:08:13]   L23: entropy=0.301 gini=0.172 dist=['0.328', '0.672']
[2026-03-28 05:08:13]   L24: entropy=0.334 gini=0.133 dist=['0.629', '0.373']
[2026-03-28 05:08:13]   L25: entropy=0.287 gini=0.172 dist=['0.332', '0.668']
[2026-03-28 05:08:13]   L26: entropy=0.243 gini=0.016 dist=['0.512', '0.488']
[2026-03-28 05:08:13]   L27: entropy=0.207 gini=0.195 dist=['0.303', '0.695']
[2026-03-28 05:08:13] Checkpoint saved: /root/t6b-mogae/checkpoints/gumbel_niche/gumbel_step6000.pt
[2026-03-28 05:08:23]   step 6100/24414 | lm=2.9062 c=0.0364 tau=0.771 | lr=8.54e-05 | 17488 tok/s route_L18=[0.57, 0.43]
[2026-03-28 05:08:34]   step 6200/24414 | lm=3.2969 c=0.0359 tau=0.768 | lr=8.49e-05 | 17526 tok/s route_L18=[0.68, 0.32]
[2026-03-28 05:08:44]   step 6300/24414 | lm=3.1094 c=0.0359 tau=0.764 | lr=8.45e-05 | 17555 tok/s route_L18=[0.56, 0.44]
[2026-03-28 05:08:54]   step 6400/24414 | lm=3.2969 c=0.0359 tau=0.760 | lr=8.40e-05 | 17591 tok/s route_L18=[0.66, 0.34]
[2026-03-28 05:09:04]   step 6500/24414 | lm=3.7812 c=0.0364 tau=0.756 | lr=8.35e-05 | 17625 tok/s route_L18=[0.71, 0.29]
[2026-03-28 05:09:14]   step 6600/24414 | lm=2.5938 c=0.0359 tau=0.753 | lr=8.30e-05 | 17659 tok/s route_L18=[0.56, 0.44]
[2026-03-28 05:09:25]   step 6700/24414 | lm=2.6250 c=0.0359 tau=0.749 | lr=8.25e-05 | 17690 tok/s route_L18=[0.62, 0.38]
[2026-03-28 05:09:35]   step 6800/24414 | lm=3.3438 c=0.0356 tau=0.745 | lr=8.20e-05 | 17721 tok/s route_L18=[0.69, 0.31]
[2026-03-28 05:09:45]   step 6900/24414 | lm=2.3594 c=0.0356 tau=0.741 | lr=8.16e-05 | 17751 tok/s route_L18=[0.55, 0.45]
[2026-03-28 05:09:55]   step 7000/24414 | lm=3.1250 c=0.0359 tau=0.738 | lr=8.11e-05 | 17780 tok/s route_L18=[0.68, 0.32]
[2026-03-28 05:09:55] --- Eval at step 7000 (tau=0.738) ---
[2026-03-28 05:10:11]   PPL=20.15 | mean_cossim=0.535546875
[2026-03-28 05:10:11]   L18: selectivity=0.291 (std=0.147, frac>0.3=0.52)
[2026-03-28 05:10:11]   L19: selectivity=0.301 (std=0.149, frac>0.3=0.55)
[2026-03-28 05:10:11]   L20: selectivity=0.350 (std=0.147, frac>0.3=0.67)
[2026-03-28 05:10:11]   L21: selectivity=0.350 (std=0.148, frac>0.3=0.68)
[2026-03-28 05:10:11]   L22: selectivity=0.338 (std=0.149, frac>0.3=0.65)
[2026-03-28 05:10:11]   L23: selectivity=0.365 (std=0.146, frac>0.3=0.71)
[2026-03-28 05:10:11]   L24: selectivity=0.352 (std=0.147, frac>0.3=0.68)
[2026-03-28 05:10:11]   L25: selectivity=0.371 (std=0.145, frac>0.3=0.73)
[2026-03-28 05:10:11]   L26: selectivity=0.395 (std=0.139, frac>0.3=0.78)
[2026-03-28 05:10:11]   L27: selectivity=0.412 (std=0.131, frac>0.3=0.82)
[2026-03-28 05:10:11]   L18: entropy=0.439 gini=0.141 dist=['0.645', '0.355']
[2026-03-28 05:10:11]   L19: entropy=0.422 gini=0.023 dist=['0.471', '0.527']
[2026-03-28 05:10:11]   L20: entropy=0.336 gini=0.070 dist=['0.432', '0.570']
[2026-03-28 05:10:11]   L21: entropy=0.334 gini=0.156 dist=['0.348', '0.652']
[2026-03-28 05:10:11]   L22: entropy=0.355 gini=0.062 dist=['0.441', '0.559']
[2026-03-28 05:10:11]   L23: entropy=0.303 gini=0.164 dist=['0.334', '0.664']
[2026-03-28 05:10:11]   L24: entropy=0.330 gini=0.141 dist=['0.637', '0.363']
[2026-03-28 05:10:11]   L25: entropy=0.291 gini=0.164 dist=['0.342', '0.660']
[2026-03-28 05:10:11]   L26: entropy=0.243 gini=0.000 dist=['0.504', '0.494']
[2026-03-28 05:10:11]   L27: entropy=0.203 gini=0.203 dist=['0.297', '0.703']
[2026-03-28 05:10:11] Checkpoint saved: /root/t6b-mogae/checkpoints/gumbel_niche/gumbel_step7000.pt
[2026-03-28 05:10:21]   step 7100/24414 | lm=3.1250 c=0.0356 tau=0.734 | lr=8.05e-05 | 17478 tok/s route_L18=[0.71, 0.29]
[2026-03-28 05:10:31]   step 7200/24414 | lm=3.4219 c=0.0352 tau=0.730 | lr=8.00e-05 | 17510 tok/s route_L18=[0.73, 0.27]
[2026-03-28 05:10:42]   step 7300/24414 | lm=2.9219 c=0.0352 tau=0.726 | lr=7.95e-05 | 17535 tok/s route_L18=[0.73, 0.27]
[2026-03-28 05:10:52]   step 7400/24414 | lm=2.3438 c=0.0352 tau=0.723 | lr=7.90e-05 | 17565 tok/s route_L18=[0.52, 0.48]
[2026-03-28 05:11:02]   step 7500/24414 | lm=3.2031 c=0.0352 tau=0.719 | lr=7.85e-05 | 17594 tok/s route_L18=[0.61, 0.40]
[2026-03-28 05:11:12]   step 7600/24414 | lm=2.7812 c=0.0352 tau=0.715 | lr=7.79e-05 | 17623 tok/s route_L18=[0.64, 0.36]
[2026-03-28 05:11:22]   step 7700/24414 | lm=2.5781 c=0.0352 tau=0.711 | lr=7.74e-05 | 17651 tok/s route_L18=[0.71, 0.29]
[2026-03-28 05:11:33]   step 7800/24414 | lm=2.8750 c=0.0356 tau=0.708 | lr=7.69e-05 | 17678 tok/s route_L18=[0.68, 0.32]
[2026-03-28 05:11:43]   step 7900/24414 | lm=3.3750 c=0.0352 tau=0.704 | lr=7.63e-05 | 17705 tok/s route_L18=[0.62, 0.38]
[2026-03-28 05:11:53]   step 8000/24414 | lm=2.7969 c=0.0356 tau=0.700 | lr=7.58e-05 | 17731 tok/s route_L18=[0.60, 0.40]
[2026-03-28 05:11:53] --- Eval at step 8000 (tau=0.700) ---
[2026-03-28 05:12:08]   PPL=20.15 | mean_cossim=0.535546875
[2026-03-28 05:12:08]   L18: selectivity=0.293 (std=0.147, frac>0.3=0.53)
[2026-03-28 05:12:08]   L19: selectivity=0.303 (std=0.149, frac>0.3=0.55)
[2026-03-28 05:12:08]   L20: selectivity=0.350 (std=0.147, frac>0.3=0.67)
[2026-03-28 05:12:08]   L21: selectivity=0.350 (std=0.148, frac>0.3=0.67)
[2026-03-28 05:12:08]   L22: selectivity=0.340 (std=0.149, frac>0.3=0.65)
[2026-03-28 05:12:08]   L23: selectivity=0.365 (std=0.146, frac>0.3=0.71)
[2026-03-28 05:12:08]   L24: selectivity=0.354 (std=0.147, frac>0.3=0.69)
[2026-03-28 05:12:08]   L25: selectivity=0.371 (std=0.145, frac>0.3=0.73)
[2026-03-28 05:12:08]   L26: selectivity=0.395 (std=0.139, frac>0.3=0.78)
[2026-03-28 05:12:08]   L27: selectivity=0.412 (std=0.131, frac>0.3=0.82)
[2026-03-28 05:12:08]   L18: entropy=0.438 gini=0.148 dist=['0.648', '0.352']
[2026-03-28 05:12:08]   L19: entropy=0.422 gini=0.023 dist=['0.471', '0.527']
[2026-03-28 05:12:08]   L20: entropy=0.336 gini=0.070 dist=['0.430', '0.570']
[2026-03-28 05:12:08]   L21: entropy=0.336 gini=0.141 dist=['0.355', '0.645']
[2026-03-28 05:12:08]   L22: entropy=0.355 gini=0.070 dist=['0.436', '0.566']
[2026-03-28 05:12:08]   L23: entropy=0.303 gini=0.172 dist=['0.334', '0.668']
[2026-03-28 05:12:08]   L24: entropy=0.326 gini=0.141 dist=['0.645', '0.355']
[2026-03-28 05:12:08]   L25: entropy=0.289 gini=0.164 dist=['0.338', '0.664']
[2026-03-28 05:12:08]   L26: entropy=0.242 gini=0.016 dist=['0.490', '0.512']
[2026-03-28 05:12:08]   L27: entropy=0.203 gini=0.203 dist=['0.299', '0.703']
[2026-03-28 05:12:08] Checkpoint saved: /root/t6b-mogae/checkpoints/gumbel_niche/gumbel_step8000.pt
[2026-03-28 05:12:19]   step 8100/24414 | lm=3.2969 c=0.0352 tau=0.696 | lr=7.52e-05 | 17469 tok/s route_L18=[0.71, 0.29]
[2026-03-28 05:12:29]   step 8200/24414 | lm=3.6094 c=0.0352 tau=0.693 | lr=7.47e-05 | 17497 tok/s route_L18=[0.66, 0.34]
[2026-03-28 05:12:39]   step 8300/24414 | lm=2.8906 c=0.0356 tau=0.689 | lr=7.41e-05 | 17524 tok/s route_L18=[0.77, 0.23]
[2026-03-28 05:12:49]   step 8400/24414 | lm=2.8906 c=0.0352 tau=0.685 | lr=7.35e-05 | 17551 tok/s route_L18=[0.57, 0.43]
[2026-03-28 05:12:59]   step 8500/24414 | lm=3.1562 c=0.0359 tau=0.681 | lr=7.30e-05 | 17577 tok/s route_L18=[0.82, 0.19]
[2026-03-28 05:13:10]   step 8600/24414 | lm=2.8281 c=0.0356 tau=0.678 | lr=7.24e-05 | 17602 tok/s route_L18=[0.64, 0.36]
[2026-03-28 05:13:20]   step 8700/24414 | lm=3.2812 c=0.0352 tau=0.674 | lr=7.18e-05 | 17628 tok/s route_L18=[0.66, 0.34]
[2026-03-28 05:13:30]   step 8800/24414 | lm=2.7969 c=0.0356 tau=0.670 | lr=7.12e-05 | 17652 tok/s route_L18=[0.75, 0.25]
[2026-03-28 05:13:40]   step 8900/24414 | lm=3.2031 c=0.0347 tau=0.666 | lr=7.06e-05 | 17676 tok/s route_L18=[0.74, 0.26]
[2026-03-28 05:13:50]   step 9000/24414 | lm=3.2188 c=0.0352 tau=0.663 | lr=7.01e-05 | 17700 tok/s route_L18=[0.71, 0.29]
[2026-03-28 05:13:50] --- Eval at step 9000 (tau=0.663) ---
[2026-03-28 05:14:06]   PPL=20.15 | mean_cossim=0.53515625
[2026-03-28 05:14:06]   L18: selectivity=0.295 (std=0.147, frac>0.3=0.53)
[2026-03-28 05:14:06]   L19: selectivity=0.303 (std=0.149, frac>0.3=0.55)
[2026-03-28 05:14:06]   L20: selectivity=0.350 (std=0.147, frac>0.3=0.68)
[2026-03-28 05:14:06]   L21: selectivity=0.350 (std=0.148, frac>0.3=0.67)
[2026-03-28 05:14:06]   L22: selectivity=0.338 (std=0.149, frac>0.3=0.65)
[2026-03-28 05:14:06]   L23: selectivity=0.363 (std=0.146, frac>0.3=0.71)
[2026-03-28 05:14:06]   L24: selectivity=0.354 (std=0.147, frac>0.3=0.69)
[2026-03-28 05:14:06]   L25: selectivity=0.373 (std=0.145, frac>0.3=0.73)
[2026-03-28 05:14:06]   L26: selectivity=0.395 (std=0.139, frac>0.3=0.78)
[2026-03-28 05:14:06]   L27: selectivity=0.410 (std=0.132, frac>0.3=0.81)
[2026-03-28 05:14:06]   L18: entropy=0.436 gini=0.156 dist=['0.656', '0.344']
[2026-03-28 05:14:06]   L19: entropy=0.422 gini=0.031 dist=['0.475', '0.527']
[2026-03-28 05:14:06]   L20: entropy=0.336 gini=0.078 dist=['0.428', '0.574']
[2026-03-28 05:14:06]   L21: entropy=0.336 gini=0.141 dist=['0.354', '0.645']
[2026-03-28 05:14:06]   L22: entropy=0.357 gini=0.055 dist=['0.445', '0.555']
[2026-03-28 05:14:06]   L23: entropy=0.307 gini=0.164 dist=['0.342', '0.660']
[2026-03-28 05:14:06]   L24: entropy=0.326 gini=0.141 dist=['0.645', '0.355']
[2026-03-28 05:14:06]   L25: entropy=0.289 gini=0.164 dist=['0.336', '0.664']
[2026-03-28 05:14:06]   L26: entropy=0.242 gini=0.008 dist=['0.490', '0.508']
[2026-03-28 05:14:06]   L27: entropy=0.208 gini=0.180 dist=['0.314', '0.684']
[2026-03-28 05:14:06] Checkpoint saved: /root/t6b-mogae/checkpoints/gumbel_niche/gumbel_step9000.pt
[2026-03-28 05:14:16]   step 9100/24414 | lm=3.2344 c=0.0352 tau=0.659 | lr=6.95e-05 | 17467 tok/s route_L18=[0.74, 0.26]
[2026-03-28 05:14:26]   step 9200/24414 | lm=2.5000 c=0.0352 tau=0.655 | lr=6.89e-05 | 17492 tok/s route_L18=[0.56, 0.44]
[2026-03-28 05:14:36]   step 9300/24414 | lm=2.7969 c=0.0356 tau=0.651 | lr=6.83e-05 | 17516 tok/s route_L18=[0.67, 0.33]
[2026-03-28 05:14:47]   step 9400/24414 | lm=3.1094 c=0.0352 tau=0.648 | lr=6.77e-05 | 17534 tok/s route_L18=[0.68, 0.31]
[2026-03-28 05:14:57]   step 9500/24414 | lm=2.7656 c=0.0352 tau=0.644 | lr=6.71e-05 | 17558 tok/s route_L18=[0.68, 0.32]
[2026-03-28 05:15:07]   step 9600/24414 | lm=3.0156 c=0.0359 tau=0.640 | lr=6.65e-05 | 17580 tok/s route_L18=[0.77, 0.24]
[2026-03-28 05:15:18]   step 9700/24414 | lm=3.1250 c=0.0344 tau=0.636 | lr=6.59e-05 | 17603 tok/s route_L18=[0.62, 0.38]
[2026-03-28 05:15:28]   step 9800/24414 | lm=3.0312 c=0.0347 tau=0.633 | lr=6.52e-05 | 17625 tok/s route_L18=[0.79, 0.22]
[2026-03-28 05:15:38]   step 9900/24414 | lm=2.6250 c=0.0347 tau=0.629 | lr=6.46e-05 | 17647 tok/s route_L18=[0.59, 0.41]
[2026-03-28 05:15:48]   step 10000/24414 | lm=3.1094 c=0.0344 tau=0.625 | lr=6.40e-05 | 17668 tok/s route_L18=[0.66, 0.34]
[2026-03-28 05:15:48] --- Eval at step 10000 (tau=0.625) ---
[2026-03-28 05:16:04]   PPL=20.15 | mean_cossim=0.534375
[2026-03-28 05:16:04]   L18: selectivity=0.295 (std=0.147, frac>0.3=0.53)
[2026-03-28 05:16:04]   L19: selectivity=0.303 (std=0.149, frac>0.3=0.55)
[2026-03-28 05:16:04]   L20: selectivity=0.350 (std=0.147, frac>0.3=0.68)
[2026-03-28 05:16:04]   L21: selectivity=0.348 (std=0.148, frac>0.3=0.67)
[2026-03-28 05:16:04]   L22: selectivity=0.340 (std=0.149, frac>0.3=0.65)
[2026-03-28 05:16:04]   L23: selectivity=0.363 (std=0.146, frac>0.3=0.71)
[2026-03-28 05:16:04]   L24: selectivity=0.354 (std=0.147, frac>0.3=0.68)
[2026-03-28 05:16:04]   L25: selectivity=0.371 (std=0.146, frac>0.3=0.73)
[2026-03-28 05:16:04]   L26: selectivity=0.395 (std=0.139, frac>0.3=0.78)
[2026-03-28 05:16:04]   L27: selectivity=0.410 (std=0.133, frac>0.3=0.81)
[2026-03-28 05:16:04]   L18: entropy=0.434 gini=0.156 dist=['0.660', '0.340']
[2026-03-28 05:16:04]   L19: entropy=0.422 gini=0.023 dist=['0.471', '0.527']
[2026-03-28 05:16:04]   L20: entropy=0.334 gini=0.078 dist=['0.428', '0.574']
[2026-03-28 05:16:04]   L21: entropy=0.338 gini=0.133 dist=['0.361', '0.637']
[2026-03-28 05:16:04]   L22: entropy=0.355 gini=0.062 dist=['0.438', '0.562']
[2026-03-28 05:16:04]   L23: entropy=0.307 gini=0.156 dist=['0.344', '0.656']
[2026-03-28 05:16:04]   L24: entropy=0.328 gini=0.141 dist=['0.641', '0.361']
[2026-03-28 05:16:04]   L25: entropy=0.293 gini=0.156 dist=['0.350', '0.652']
[2026-03-28 05:16:04]   L26: entropy=0.242 gini=0.008 dist=['0.492', '0.508']
[2026-03-28 05:16:04]   L27: entropy=0.209 gini=0.188 dist=['0.316', '0.684']
[2026-03-28 05:16:04] Checkpoint saved: /root/t6b-mogae/checkpoints/gumbel_niche/gumbel_step10000.pt
[2026-03-28 05:16:14]   step 10100/24414 | lm=2.9844 c=0.0352 tau=0.621 | lr=6.34e-05 | 17457 tok/s route_L18=[0.64, 0.36]
[2026-03-28 05:16:24]   step 10200/24414 | lm=3.2500 c=0.0347 tau=0.618 | lr=6.28e-05 | 17479 tok/s route_L18=[0.68, 0.32]
[2026-03-28 05:16:34]   step 10300/24414 | lm=3.0781 c=0.0347 tau=0.614 | lr=6.21e-05 | 17502 tok/s route_L18=[0.61, 0.40]
[2026-03-28 05:16:45]   step 10400/24414 | lm=3.3438 c=0.0344 tau=0.610 | lr=6.15e-05 | 17518 tok/s route_L18=[0.62, 0.38]
[2026-03-28 05:16:55]   step 10500/24414 | lm=3.5156 c=0.0344 tau=0.606 | lr=6.09e-05 | 17539 tok/s route_L18=[0.68, 0.32]
[2026-03-28 05:17:05]   step 10600/24414 | lm=2.9688 c=0.0352 tau=0.603 | lr=6.03e-05 | 17560 tok/s route_L18=[0.84, 0.16]
[2026-03-28 05:17:15]   step 10700/24414 | lm=2.7500 c=0.0339 tau=0.599 | lr=5.96e-05 | 17581 tok/s route_L18=[0.78, 0.22]
[2026-03-28 05:17:26]   step 10800/24414 | lm=2.8281 c=0.0339 tau=0.595 | lr=5.90e-05 | 17601 tok/s route_L18=[0.64, 0.36]
[2026-03-28 05:17:36]   step 10900/24414 | lm=2.5781 c=0.0352 tau=0.591 | lr=5.84e-05 | 17621 tok/s route_L18=[0.69, 0.31]
[2026-03-28 05:17:46]   step 11000/24414 | lm=3.2969 c=0.0339 tau=0.588 | lr=5.77e-05 | 17640 tok/s route_L18=[0.70, 0.30]
[2026-03-28 05:17:46] --- Eval at step 11000 (tau=0.588) ---
[2026-03-28 05:18:01]   PPL=20.15 | mean_cossim=0.533984375
[2026-03-28 05:18:01]   L18: selectivity=0.295 (std=0.148, frac>0.3=0.53)
[2026-03-28 05:18:01]   L19: selectivity=0.303 (std=0.149, frac>0.3=0.55)
[2026-03-28 05:18:01]   L20: selectivity=0.350 (std=0.147, frac>0.3=0.68)
[2026-03-28 05:18:01]   L21: selectivity=0.348 (std=0.148, frac>0.3=0.67)
[2026-03-28 05:18:01]   L22: selectivity=0.340 (std=0.149, frac>0.3=0.65)
[2026-03-28 05:18:01]   L23: selectivity=0.363 (std=0.146, frac>0.3=0.71)
[2026-03-28 05:18:01]   L24: selectivity=0.352 (std=0.147, frac>0.3=0.68)
[2026-03-28 05:18:01]   L25: selectivity=0.371 (std=0.145, frac>0.3=0.73)
[2026-03-28 05:18:01]   L26: selectivity=0.395 (std=0.139, frac>0.3=0.78)
[2026-03-28 05:18:01]   L27: selectivity=0.410 (std=0.133, frac>0.3=0.81)
[2026-03-28 05:18:01]   L18: entropy=0.434 gini=0.156 dist=['0.660', '0.340']
[2026-03-28 05:18:01]   L19: entropy=0.422 gini=0.031 dist=['0.469', '0.531']
[2026-03-28 05:18:01]   L20: entropy=0.334 gini=0.070 dist=['0.430', '0.570']
[2026-03-28 05:18:01]   L21: entropy=0.340 gini=0.133 dist=['0.367', '0.633']
[2026-03-28 05:18:01]   L22: entropy=0.352 gini=0.078 dist=['0.428', '0.574']
[2026-03-28 05:18:01]   L23: entropy=0.307 gini=0.156 dist=['0.344', '0.656']
[2026-03-28 05:18:01]   L24: entropy=0.332 gini=0.125 dist=['0.629', '0.371']
[2026-03-28 05:18:01]   L25: entropy=0.289 gini=0.164 dist=['0.342', '0.660']
[2026-03-28 05:18:01]   L26: entropy=0.242 gini=0.008 dist=['0.494', '0.508']
[2026-03-28 05:18:01]   L27: entropy=0.210 gini=0.188 dist=['0.318', '0.684']
[2026-03-28 05:18:01] Checkpoint saved: /root/t6b-mogae/checkpoints/gumbel_niche/gumbel_step11000.pt
[2026-03-28 05:18:12]   step 11100/24414 | lm=3.1719 c=0.0339 tau=0.584 | lr=5.71e-05 | 17451 tok/s route_L18=[0.68, 0.32]
[2026-03-28 05:18:22]   step 11200/24414 | lm=3.1719 c=0.0344 tau=0.580 | lr=5.65e-05 | 17471 tok/s route_L18=[0.79, 0.21]
[2026-03-28 05:18:32]   step 11300/24414 | lm=3.0156 c=0.0347 tau=0.576 | lr=5.58e-05 | 17492 tok/s route_L18=[0.54, 0.46]
[2026-03-28 05:18:42]   step 11400/24414 | lm=2.9688 c=0.0339 tau=0.573 | lr=5.52e-05 | 17511 tok/s route_L18=[0.64, 0.36]
[2026-03-28 05:18:53]   step 11500/24414 | lm=3.0312 c=0.0339 tau=0.569 | lr=5.45e-05 | 17526 tok/s route_L18=[0.71, 0.29]
[2026-03-28 05:19:03]   step 11600/24414 | lm=2.9844 c=0.0344 tau=0.565 | lr=5.39e-05 | 17545 tok/s route_L18=[0.69, 0.31]
[2026-03-28 05:19:13]   step 11700/24414 | lm=2.9531 c=0.0344 tau=0.561 | lr=5.33e-05 | 17564 tok/s route_L18=[0.75, 0.25]
[2026-03-28 05:19:23]   step 11800/24414 | lm=3.2656 c=0.0347 tau=0.558 | lr=5.26e-05 | 17583 tok/s route_L18=[0.73, 0.27]
[2026-03-28 05:19:34]   step 11900/24414 | lm=3.1250 c=0.0339 tau=0.554 | lr=5.20e-05 | 17601 tok/s route_L18=[0.66, 0.34]
[2026-03-28 05:19:44]   step 12000/24414 | lm=2.8281 c=0.0347 tau=0.550 | lr=5.13e-05 | 17619 tok/s route_L18=[0.64, 0.36]
[2026-03-28 05:19:44] --- Eval at step 12000 (tau=0.550) ---
[2026-03-28 05:19:59]   PPL=20.15 | mean_cossim=0.534765625
[2026-03-28 05:19:59]   L18: selectivity=0.295 (std=0.147, frac>0.3=0.53)
[2026-03-28 05:19:59]   L19: selectivity=0.303 (std=0.149, frac>0.3=0.55)
[2026-03-28 05:19:59]   L20: selectivity=0.350 (std=0.147, frac>0.3=0.67)
[2026-03-28 05:19:59]   L21: selectivity=0.348 (std=0.148, frac>0.3=0.67)
[2026-03-28 05:19:59]   L22: selectivity=0.340 (std=0.149, frac>0.3=0.65)
[2026-03-28 05:19:59]   L23: selectivity=0.363 (std=0.146, frac>0.3=0.71)
[2026-03-28 05:19:59]   L24: selectivity=0.352 (std=0.147, frac>0.3=0.68)
[2026-03-28 05:19:59]   L25: selectivity=0.373 (std=0.145, frac>0.3=0.73)
[2026-03-28 05:19:59]   L26: selectivity=0.395 (std=0.139, frac>0.3=0.78)
[2026-03-28 05:19:59]   L27: selectivity=0.410 (std=0.132, frac>0.3=0.81)
[2026-03-28 05:19:59]   L18: entropy=0.434 gini=0.156 dist=['0.660', '0.340']
[2026-03-28 05:19:59]   L19: entropy=0.422 gini=0.031 dist=['0.471', '0.531']
[2026-03-28 05:19:59]   L20: entropy=0.334 gini=0.070 dist=['0.430', '0.570']
[2026-03-28 05:19:59]   L21: entropy=0.340 gini=0.133 dist=['0.367', '0.633']
[2026-03-28 05:19:59]   L22: entropy=0.354 gini=0.062 dist=['0.434', '0.566']
[2026-03-28 05:19:59]   L23: entropy=0.307 gini=0.156 dist=['0.344', '0.656']
[2026-03-28 05:19:59]   L24: entropy=0.332 gini=0.125 dist=['0.625', '0.375']
[2026-03-28 05:19:59]   L25: entropy=0.289 gini=0.156 dist=['0.338', '0.660']
